Date,Incident Type,Place of Origin,Casualties
9/1/2021,Combatant/Killed,Armenia-Azerbaijan: Nakhchivan 1,1
9/17/2021,Combatant/Wounded,NK: Martuni-Hadrut,1
9/21/2021,Non-combatant/Wounded,NK: Agdam-Askeran,1
9/22/2021,Non-combatant/Killed,Armenia-Azerbaijan: Ijevan-Gazakh,1
9/28/2021,Combatant/Wounded,NK: Kelbajar,1
9/29/2021,Non-combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,2
9/30/2021,Combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
10/9/2021,Non-combatant/Killed,NK: Martakert-Terter,1
10/9/2021,Combatant/Wounded,Armenia-Azerbaijan: Nakhchivan 1,1
10/9/2021,Non-combatant/Wounded,Armenia-Azerbaijan: Ijevan-Tovuz,1
10/14/2021,Combatant/Killed,NK: Agdam-Askeran,1
10/14/2021,Combatant/Wounded,NK: Agdam-Askeran,6
11/7/2021,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
11/8/2021,Non-combatant/Killed,NK: Shusha-Stepanakert,1
11/8/2021,Non-combatant/Wounded,NK: Shusha-Stepanakert,3
11/13/2021,Combatant/Wounded,NK: Shusha-Stepanakert,3
11/15/2021,Non-combatant/Killed,NK: Agdam-Askeran,1
11/17/2021,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,7
11/17/2021,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,6
11/20/2021,Non-combatant/Wounded,NK: Martakert-Terter,1
11/20/2021,Non-combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
11/20/2021,Combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
11/21/2021,Non-combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
11/22/2021,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
11/28/2021,Combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,2
11/29/2021,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
12/3/2021,Non-combatant/Killed,NK: Martuni-Hadrut,1
12/5/2021,Combatant/Killed,NK: Shusha-Stepanakert,1
12/9/2021,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
12/9/2021,Non-combatant/Killed,NK: Shusha-Stepanakert,2
12/10/2021,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
12/30/2021,Non-combatant/Wounded,NK: Agdam-Askeran,1
1/2/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
1/11/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
1/11/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,2
1/12/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
1/18/2022,Non-combatant/Wounded,NK: Martakert-Terter,1
2/2/2022,Non-combatant/Killed,NK: Martakert-Terter,1
2/15/2022,Combatant/Wounded,NK: Agdam-Askeran,1
2/18/2022,Non-combatant/Wounded,NK: Martakert-Terter,2
3/7/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
3/9/2022,Non-combatant/Wounded,NK: Agdam-Askeran,1
3/23/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
3/25/2022,Combatant/Killed,NK: Agdam-Askeran,3
4/9/2022,Non-combatant/Wounded,NK: Martakert-Terter,1
4/20/2022,Combatant/Wounded,NK: Kelbajar,1
4/22/2022,Non-combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
4/29/2022,Non-combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,1
5/7/2022,Non-combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/12/2022,Non-combatant/Killed,NK: Agdam-Askeran,1
5/13/2022,Non-combatant/Wounded,NK: Agdam-Askeran,1
5/17/2022,Combatant/Wounded,Armenia-Azerbaijan: Ijevan-Tovuz,1
5/21/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/27/2022,Combatant/Wounded,NK: Agdam-Askeran,1
5/28/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/28/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
6/17/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
6/19/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
6/19/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
6/26/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
7/14/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
7/26/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/1/2022,Combatant/Wounded,NK: Martakert-Terter,1
8/2/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,3
8/3/2022,Combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,1
8/3/2022,Combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,2
8/3/2022,Combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,5
8/5/2022,Combatant/Killed,NK: Kelbajar,1
8/7/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/22/2022,Combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,2
8/30/2022,Non-combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
9/6/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
9/14/2022,Non-combatant/Killed,ARM-AZ Border (Sep 2022 escalation),1
9/14/2022,Non-combatant/Killed,ARM-AZ Border (Sep 2022 escalation),1
9/14/2022,Non-combatant/Wounded,ARM-AZ Border (Sep 2022 escalation),2
9/15/2022,Non-combatant/Wounded,ARM-AZ Border (Sep 2022 escalation),2
9/15/2022,Combatant/Killed,ARM-AZ Border (Sep 2022 escalation),80
9/15/2022,Combatant/Killed,ARM-AZ Border (Sep 2022 escalation),8
9/17/2022,Combatant/Wounded,ARM-AZ Border (Sep 2022 escalation),282
9/19/2022,Combatant/Killed,ARM-AZ Border (Sep 2022 escalation),202
9/19/2022,Combatant/Wounded,ARM-AZ Border (Sep 2022 escalation),293
9/19/2022,Non-combatant/Wounded,ARM-AZ Border (Sep 2022 escalation),4
9/21/2022,Combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
9/22/2022,Non-combatant/Killed,ARM-AZ Border (Sep 2022 escalation),1
9/24/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,3
9/26/2022,Non-combatant/Killed,ARM-AZ Border (Sep 2022 escalation),1
9/26/2022,Non-combatant/Killed,ARM-AZ Border (Sep 2022 escalation),1
9/28/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
9/28/2022,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,3
10/1/2022,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,2
10/1/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
10/1/2022,Non-combatant/Wounded,NK: Martakert-Terter,2
10/2/2022,Non-combatant/Wounded,NK: Martuni-Hadrut,1
10/8/2022,Non-combatant/Wounded,NK: Agdam-Askeran,3
10/13/2022,Combatant/Killed,Armenia-Azerbaijan: Ijevan-Tovuz,1
10/21/2022,Non-combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
10/21/2022,Non-combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,1
10/23/2022,Non-combatant/Wounded,NK: Martakert-Terter,1
11/2/2022,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
11/10/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
11/12/2022,Non-combatant/Wounded,NK: Agdam-Askeran,1
11/17/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
11/24/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
11/28/2022,Combatant/Wounded,NK: Shusha-Stepanakert,2
11/29/2022,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
12/14/2022,Combatant/Wounded,NK: Kelbajar,3
12/14/2022,Combatant/Killed,NK: Kelbajar,1
12/14/2022,Non-combatant/Wounded,NK: Kelbajar,4
1/13/2023,Non-combatant/Killed,NK: Martuni-Hadrut,1
1/19/2023,Combatant/Wounded,Armenia-Azerbaijan: Nakhchivan 1,1
2/14/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
3/4/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
3/5/2023,Non-combatant/Killed,NK: Shusha-Stepanakert,3
3/5/2023,Non-combatant/Wounded,NK: Shusha-Stepanakert,1
3/5/2023,Combatant/Killed,NK: Shusha-Stepanakert,2
3/9/2023,Non-combatant/Wounded,NK: Martakert-Terter,1
3/16/2023,Non-combatant/Killed,NK: Agdam-Askeran,2
3/20/2023,Combatant/Wounded,Armenia-Azerbaijan: Kapan-Kubatli,1
3/22/2023,Combatant/Killed,Armenia-Azerbaijan: Nakhchivan 1,1
4/1/2023,Combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,1
4/2/2023,Combatant/Killed,NK: Martakert-Terter,1
4/4/2023,Non-combatant/Wounded,NK: Martuni-Hadrut,1
4/11/2023,Combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,3
4/11/2023,Combatant/Killed,Armenia-Azerbaijan: Goris-Lachin,4
4/11/2023,Non-combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
4/12/2023,Non-combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
4/18/2023,Non-combatant/Wounded,NK: Martakert-Terter,1
4/23/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
4/26/2023,Non-combatant/Wounded,NK: Martakert-Terter,1
4/28/2023,Non-combatant/Killed,NK: Martakert-Terter,3
5/1/2023,Non-combatant/Killed,NK: Hadrut-Jebrail-Fizuli,1
5/11/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,3
5/11/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/11/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/12/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
